iter	Passed	Remaining
0	1	276
1	2	221
2	4	199
3	5	184
4	6	178
5	7	170
6	8	165
7	9	162
8	10	157
9	11	154
10	12	154
11	13	157
12	14	156
13	15	154
14	16	152
15	17	149
16	18	147
17	19	145
18	20	144
19	22	143
20	23	142
21	24	142
22	25	141
23	26	139
24	28	140
25	29	141
26	30	140
27	32	139
28	33	138
29	34	136
30	35	134
31	36	133
32	37	132
33	38	130
34	39	129
35	40	127
36	41	125
37	42	124
38	43	124
39	45	124
40	46	122
41	47	121
42	48	119
43	49	118
44	49	116
45	50	115
46	51	113
47	53	112
48	54	111
49	55	110
50	56	109
51	57	108
52	58	107
53	59	106
54	60	104
55	61	103
56	62	102
57	63	100
58	64	99
59	65	98
60	67	97
61	68	96
62	69	95
63	70	94
64	71	93
65	72	92
66	73	91
67	75	91
68	76	90
69	78	89
70	79	88
71	80	87
72	81	85
73	82	84
74	83	83
75	84	82
76	85	80
77	86	79
78	87	78
79	88	77
80	89	75
81	90	75
82	91	74
83	92	72
84	93	71
85	94	70
86	95	69
87	96	68
88	97	67
89	99	66
90	100	65
91	101	64
92	102	62
93	103	61
94	104	60
95	106	59
96	107	58
97	108	57
98	110	56
99	111	55
100	112	54
101	113	53
102	114	52
103	115	50
104	115	49
105	116	48
106	118	47
107	119	46
108	119	45
109	121	44
110	122	43
111	123	41
112	124	40
113	125	39
114	126	38
115	127	37
116	128	36
117	129	35
118	130	33
119	131	32
120	132	31
121	132	30
122	133	29
123	134	28
124	136	27
125	137	26
126	138	25
127	139	24
128	140	22
129	141	21
130	142	20
131	143	19
132	144	18
133	145	17
134	146	16
135	147	15
136	148	14
137	150	13
138	151	11
139	152	10
140	153	9
141	155	8
142	156	7
143	157	6
144	158	5
145	159	4
146	160	3
147	161	2
148	162	1
149	163	0
